"cd_geouf","cd_geocmu","regiao","uf","estado","municipio","bioma","arcodesmat","matopiba","mun_ha","area_ha","year"
"35","3502309","SUDESTE","SP","SÃO PAULO","ANHEMBI","CERRADO","0","0","73655.70000000000","16166.61382005","2017"
"50","5000807","CENTRO-OESTE","MS","MATO GROSSO DO SUL","ANAURILÂNDIA","CERRADO","0","0","339543.70000000001","112036.18892599","2017"
"35","3502705","SUDESTE","SP","SÃO PAULO","APIAÍ","CERRADO","0","0","97432.20000000000","0.24507873","2017"
"52","5201405","CENTRO-OESTE","GO","GOIÁS","APARECIDA DE GOIÂNIA","CERRADO","0","0","27853.90000000000","7867.69966354","2017"
"52","5201454","CENTRO-OESTE","GO","GOIÁS","APARECIDA DO RIO DOCE","CERRADO","0","0","60213.30000000000","41970.09489950","2017"
"31","3103207","SUDESTE","MG","MINAS GERAIS","ARAÇAÍ","CERRADO","0","0","18753.80000000000","9011.30856615","2017"
"52","5201603","CENTRO-OESTE","GO","GOIÁS","ARAÇU","CERRADO","0","0","14937.10000000000","9762.29680339","2017"
"52","5201702","CENTRO-OESTE","GO","GOIÁS","ARAGARÇAS","CERRADO","0","0","66453.00000000000","33348.61678570","2017"
"50","5000906","CENTRO-OESTE","MS","MATO GROSSO DO SUL","ANTÔNIO JOÃO","CERRADO","0","0","114517.50000000000","37110.26810053","2017"
"17","1702000","NORTE","TO","TOCANTINS","ARAGUAÇU","CERRADO","0","0","516765.20000000001","0.00000000","2017"
"52","5201801","CENTRO-OESTE","GO","GOIÁS","ARAGOIÂNIA","CERRADO","0","0","21818.30000000000","14801.42369412","2017"
"51","5101209","CENTRO-OESTE","MT","MATO GROSSO","ARAGUAINHA","CERRADO","0","0","68777.89999999999","25192.09800300","2017"
"50","5001243","CENTRO-OESTE","MS","MATO GROSSO DO SUL","ARAL MOREIRA","CERRADO","0","0","165566.00000000000","5.70113423","2017"
"50","5000252","CENTRO-OESTE","MS","MATO GROSSO DO SUL","ALCINÓPOLIS","CERRADO","0","0","439968.09999999998","252463.96067912","2017"
"35","3503000","SUDESTE","SP","SÃO PAULO","ARAMINA","CERRADO","0","0","20282.90000000000","175.54584547","2017"
"35","3503109","SUDESTE","SP","SÃO PAULO","ARANDU","CERRADO","0","0","28590.80000000000","2549.52009075","2017"
"50","5001003","CENTRO-OESTE","MS","MATO GROSSO DO SUL","APARECIDA DO TABOADO","CERRADO","0","0","275015.00000000000","100232.78956611","2017"
"50","5001102","CENTRO-OESTE","MS","MATO GROSSO DO SUL","AQUIDAUANA","CERRADO","0","0","1697071.10000000009","144936.50798812","2017"
"41","4101606","SUL","PR","PARANÁ","ARAPOTI","CERRADO","0","0","136049.39999999999","1758.57292033","2017"
"51","5101258","CENTRO-OESTE","MT","MATO GROSSO","ARAPUTANGA","CERRADO","0","0","161088.79999999999","1016.31213158","2017"
"50","5000708","CENTRO-OESTE","MS","MATO GROSSO DO SUL","ANASTÁCIO","CERRADO","0","0","294631.70000000001","163380.57287296","2017"
